score,hits,title,year,venue,doi,url,abstract
6,perception:2|control:3|robotics:1,Design and Implementation of an Intelligent Safety and Security System for Vehicles Based on GSM Communication and IoT Network for Real-Time Tracking,2023,Journal of Robotics and Control (JRC),10.18196/jrc.v4i5.19652,https://doi.org/10.18196/jrc.v4i5.19652,"In recent years, the surge in car theft cases, often linked to illicit activities, has become a growing concern. Simultaneously, countries grappling with oil shortages have shifted towards converting vehicles to run on liquid propane gas, presenting new safety challenges for car owners. This paper introduces a novel integrated intelligent system designed to address the challenges of car theft and safety concerns associated with gas-based vehicles. By seamlessly integrating these concerns into a single system, it aims to achieve significantly improved performance compared to traditional alarm systems. The proposed system consists of three primary parts: the car security subsystem, an Internet of Things (IoT)-based real-time car tracking subsystem, and the car safety subsystem. Utilizing key technologies such as the Arduino Microcontroller, Bluetooth module, vibration sensor, keypad, solenoid lock, GSM module, NodeMCU microcontroller, GPS module, MQ-4 gas sensor, flame sensor, temperatur"
6,perception:1|control:4|robotics:1,Discrete Robust Control of Robot Manipulators Using an Uncertainty and Disturbance Estimator,2023,"Journal of Dynamic Systems, Measurement, and Control",10.1115/1.4062079,https://doi.org/10.1115/1.4062079,"Abstract This article presents the design of a robust observer based on the discrete-time (DT) formulation of uncertainty and disturbance estimator (UDE), a well-known robust control technique, for the purpose of controlling robot manipulators. The design results in a complete closed-loop, robust, and controller–observer structure. The observer incorporates the estimate of the overall uncertainty associated with the plant, in order to mimic its dynamics, and the control law is generated using an auxiliary error instead of state tracking error. A detailed qualitative and quantitative stability analysis is provided, and simulations are performed on the two-link robot manipulator system. Further, a comparative study with well-known control strategies for robot manipulators is presented. The results demonstrate the efficacy of the proposed technique, with better tracking performance and lower control energy compared to other strategies."
6,control:4|robotics:2,"Deadlock-free, Safe, and Decentralized Multi-Robot Navigation in Social Mini-Games via Discrete-Time Control Barrier Functions",2024,,10.21203/rs.3.rs-3979309/v1,https://doi.org/10.21203/rs.3.rs-3979309/v1,"Abstract We present an approach to ensure safe and deadlock-free navigation for decentralized multi-robot systems operating in constrained environments, including doorways and intersections. Although many solutions have been proposed that ensure safety and resolve deadlocks, optimally preventing deadlocks in a minimally invasive and decentralized fashion remains an open problem. We first formalize the objective as a non-cooperative, non-communicative, partially observable multi-robot navigation problem in constrained spaces with multiple conflicting agents, which we term as social mini-games. Formally, we solve a discrete-time optimal receding horizon control problem leveraging control barrier functions for safe long-horizon planning. Our approach to ensuring liveness rests on the insight that there exists barrier certificates that allow each robot to preemptively perturb their state in a minimally-invasive fashion onto liveness sets i.e. states where robots are deadlock-free. We evalu"
6,control:3|robotics:3,Local Path Planning of an Autonomous Mobile Robot with Nonholonomic Constraints based on Control Barrier Functions and Elliptical Bounding Box,2024,2024 International Automatic Control Conference (CACS),10.1109/cacs63404.2024.10773344,https://doi.org/10.1109/cacs63404.2024.10773344,
6,perception:1|control:1|robotics:4,Research and Application of an Improved TD3 Algorithm in Mobile Robot Environment Perception and Autonomous Navigation,2024,"2024 3rd International Conference on Robotics, Artificial Intelligence and Intelligent Control (RAIIC)",10.1109/raiic61787.2024.10670941,https://doi.org/10.1109/raiic61787.2024.10670941,
6,perception:2|control:2|robotics:2,Safety Classes Semantic Costmaps from RGBD Sensors for Risk-Aware Robot Navigation,2024,"2024 10th International Conference on Control, Decision and Information Technologies (CoDIT)",10.1109/codit62066.2024.10708523,https://doi.org/10.1109/codit62066.2024.10708523,
6,control:4|robotics:2,Input-Constrained Human Assist Control for Automobiles Using Control Barrier Functions,2025,Journal of Robotics and Mechatronics,10.20965/jrm.2025.p1172,https://doi.org/10.20965/jrm.2025.p1172,"Control barrier functions with the notion of viability kernels solve state-constrained problems under input constraints. However, it is not clear that how viability kernels are obtained for general systems and whether an optimal safety assist controller satisfying both state and input constraints is continuous. In this paper, we consider a four-wheeled vehicle model and demonstrate how to obtain its viability kernel. Then, by explicitly solving an optimization problem, we design a human assist controller that ensures the safety of the system with minimal intervention. Moreover, we show that the proposed explicit controller is continuous. Lastly, we confirm the effectiveness of the proposed method by computer simulation."
6,perception:3|control:1|robotics:2,Scene Representations for Robotic Spatial Perception,2025,"Annual Review of Control, Robotics, and Autonomous Systems",10.1146/annurev-control-040423-030709,https://doi.org/10.1146/annurev-control-040423-030709,"The ability of a robot to build a persistent, accurate, and actionable model of its surroundings through sensor data in a timely manner is crucial for autonomous operation. While representing the world as a point cloud might be sufficient for localization, denser scene representations are required for obstacle avoidance. On the other hand, higher-level semantic information is often crucial for breaking down the necessary steps to autonomously complete a complex task, such as cooking. So the looming question is, What is a suitable scene representation for the robotic task at hand? This survey provides a comprehensive review of key approaches and frameworks driving progress in the field of robotic spatial perception, with a particular focus on the historical evolution and current trends in representation. By categorizing scene modeling techniques into three main types—metric, metric–semantic, and metric–semantic–topological—we discuss how spatial perception frameworks are transitioning f"
6,perception:1|control:2|robotics:3,"Mixed Crowd Navigation: Perception, Interaction, Planning, and Control",2026,"Annual Review of Control, Robotics, and Autonomous Systems",10.1146/annurev-control-032024-023929,https://doi.org/10.1146/annurev-control-032024-023929,"We comprehensively survey mixed crowd navigation, focusing on the integration of robotic agents with volitional crowds (humans or human-driven vehicles) to achieve system-wide benefits. The survey is organized following the perception–interaction–planning–control pipeline, examining four core components: ( a ) perceiving global crowd behavior from local robot observations through nonparticipant and participant observation methods; ( b ) modeling volitional agent responses via rule-based and data-driven interaction frameworks; ( c ) predicting crowd dynamics across microscopic, mesoscopic, and macroscopic scales using both traditional and machine learning approaches; and ( d ) synthesizing control policies that guide crowds toward desired states. We address critical challenges such as complex interaction modeling under partial observability, constrained robotic influence, and the need for multiscale behavioral consistency. Key applications span pedestrian crowd management and mixed traf"
6,contracts:1|control:4|robotics:1,Probabilistic Safety Guarantees for Learned Control Barrier Functions: Theory and Application to Multi-Objective Human–Robot Collaborative Optimization,2026,Mathematics,10.3390/math14030516,https://doi.org/10.3390/math14030516,"Designing provably safe controllers for high-dimensional nonlinear systems with formal guarantees represents a fundamental challenge in control theory. While control barrier functions (CBFs) provide safety certificates through forward invariance, manually crafting these barriers for complex systems becomes intractable. Neural network approximation offers expressiveness but traditionally lacks formal guarantees on approximation error and Lipschitz continuity essential for safety-critical applications. This work establishes rigorous theoretical foundations for learned barrier functions through explicit probabilistic bounds relating neural approximation error to safety failure probability. The framework integrates Lipschitz-constrained neural networks trained via PAC learning within multi-objective model predictive control. Three principal results emerge: a probabilistic forward invariance theorem establishing P(violation)≤Tδlocal+exp(−hmin2/(2L2Tσ2)), explicitly connecting network parame"
6,perception:1|control:3|robotics:2,Qualia as control-theoretic constructs for autonomous agents: event phase space as an action-oriented semantic safety layer,2026,Frontiers in Robotics and AI,10.3389/frobt.2026.1811996,https://doi.org/10.3389/frobt.2026.1811996,"Autonomous systems face a fundamental complexity barrier in open-world environments: decomposing scenes into discrete entities and searching over combinatorial action spaces leads to prohibitive computational costs, yet biological agents navigate equivalent environments in real time through holistic situational assessments — states that the phenomenological tradition terms qualia. This paper argues the gap is architectural and introduces three contributions. First, we propose that qualia are operationally indicated by assessment structures characterized by geometric coherence on a manifold, multimodality, joint encoding of state and rate, action-readiness, and intrinsic predictive content, when instantiated in an AI entity satisfying explicit subsistence and non-identity conditions. Second, we introduce the event phase space: a differentiable manifold of substantially reduced dimensionality compared to World Models, endowed with learned dynamics in which safe modes correspond to stable"
6,contracts:1|control:4|robotics:1,Safety-Critical Control for Human-Robot Interaction in Shared Workspaces using Control Barrier Functions,2026,International Journal of Computational and Biological Sciences,10.66238/ijcbs40,https://doi.org/10.66238/ijcbs40,"The transition from isolated industrial automation to collaborative environments where humans and robots operate in shared workspaces presents significant challenges in ensuring safety without compromising operational efficiency. This paper investigates the application of Control Barrier Functions as a rigorous mathematical framework for synthesizing safety-critical controllers in human-robot interaction scenarios. Unlike traditional safety protocols that rely on stopping mechanisms or wide separation distances, the proposed approach allows for continuous, seamless operation by formally guaranteeing that the robotic system state remains within a forward-invariant safe set. We formulate the control problem as a Quadratic Program that mediates between a nominal performance-driven controller and safety constraints derived from the barrier functions. This formulation enables the system to deviate from its intended trajectory only minimally and only when necessary to prevent imminent collis"
6,perception:3|control:2|robotics:1,"The Closed-Loop Construction of Soft Robot Perception, Decision-Making, and Control Under the Cyber-Physical Systems (CPS) Framework",2026,Exploring Science Academic Conference Series,10.70267/ic-aimees.20260297104,https://doi.org/10.70267/ic-aimees.20260297104,"This paper aims to explore the “Sense-Plan-Act” closed-loop construction of soft robot within the Cyber-Physical System (CPS) framework. The soft robot is deconstructed into the perception layer, decision layer, and control layer, and the organic combination of these three layers to form an effective closed-loop system is elaborated. Initially, within the perception layer, key challenges and advanced technologies for soft robot state acquisition are discussed, including the integration of multi-modal sensors and data fusion methods. Furthermore, the application of soft sensors to address the perception challenges arising from complex deformations is examined. Subsequently, within the decision layer, the architectures and algorithms for information processing, state estimation, and intelligent decision-making are analyzed, with a particular focus on leveraging artificial intelligence (AI) and machine learning (ML) technologies to extract meaningful information from noisy data and enable"
6,perception:1|control:1|robotics:4,"Learning-Based Perception, Control, and Navigation for Autonomous Missions in Aerial Robotics",None,,10.20868/upm.thesis.57709,https://doi.org/10.20868/upm.thesis.57709,
6,perception:1|control:2|robotics:3,Sensor-based navigation system using a modified ART-2 network and fuzzy controller for an indoor mobile robot,None,Proceedings of the 2003 International Conference on Machine Learning and Cybernetics (IEEE Cat. No.03EX693),10.1109/icmlc.2003.1259706,https://doi.org/10.1109/icmlc.2003.1259706,
5,control:3|robotics:2,Robustness of decentralized robot controller to payload variation,1988,Journal of Robotic Systems,10.1002/rob.4620050506,https://doi.org/10.1002/rob.4620050506,"Abstract The decentralized controller for manipulation robot is tested for its robustness to payload variation. First the local controllers are synthesized to withstand variation of inertia round the joints and then the global stability of the robotic system is examined. Three various situations are discussed: a) when actuator inertia is large in comparison to mechanism inertia, b) if the variation of payload is small in comparison to mechanism inertia, and c) if the large variation of payload parameters are expected. An algorithm for testing the robustness of the robot control to parameter variation is established, too. The purpose of the algorithm is to determine the allowable variation of the payload parameters which can be withstood by the simple decentralized controller. On the other hand, by this algorithm the local servosystems can be synthesized which are capable to withstand assumed parameter variation. This synthesis is demonstrated on an example of particular robotic system."
5,control:2|robotics:3,An adaptive controller for a one-legged mobile robot,1989,IEEE Transactions on Robotics and Automation,10.1109/70.88048,https://doi.org/10.1109/70.88048,
5,perception:1|control:3|robotics:1,A new repetitive controller for mechanical manipulators,1991,Journal of Robotic Systems,10.1002/rob.4620080406,https://doi.org/10.1002/rob.4620080406,"Abstract A new repetitive learning controller for motion control of mechanical manipulators undergoing periodic tasks is developed. This controller does not require exact knowledge of the manipulator dynamic structure or its parameters, and is computationally efficient. In addition, no actual joint accelerations or any matrix inversions are needed in the control law. The global asymptotic stability of the ideal and the robust stability of the nonideal control system is proven, taking into account the full nonlinear dynamics of the manipulator. Simulation results of this algorithm applied to a realistic Scara type manipulator, which includes dry friction, pay‐load inertia variations, actuator/sensor noise, and unmodelled dynamics are also presented."
5,perception:1|control:1|robotics:3,Dynamic Control of Robot Perception Using Stochastic Spatial Models,1991,Information Processing in Autonomous Mobile Robots,10.1007/978-3-662-07896-9_6,https://doi.org/10.1007/978-3-662-07896-9_6,
5,perception:2|control:1|robotics:2,Real-Time Vision for Autonomous and Teleoperated Control of Unmanned Vehicles,1992,Active Perception and Robot Vision,10.1007/978-3-642-77225-2_17,https://doi.org/10.1007/978-3-642-77225-2_17,
5,perception:2|control:1|robotics:2,"Active Robot Vision - Camera Heads, Model Based Navigation and Reactive Control",1993,Series in Machine Perception and Artificial Intelligence,10.1142/9789812797865,https://doi.org/10.1142/9789812797865,
5,perception:1|control:3|robotics:1,A partial state feedback controller for tajectory tracking of rigid‐link fiexible‐joint robot using an observed backstepping approach,1995,Journal of Robotic Systems,10.1002/rob.4620121103,https://doi.org/10.1002/rob.4620121103,"Abstract This article presents a partial state feedback controller for a rigid‐link flexible‐joint (RLFJ) robot using an observed integrator backstepping approach. The robot controller requires only link position and actuator position measurements, and eliminates the need for measuring link velocity and actuator velocity. The controller uses two exact knowledge, second‐order nonlinear observers to estimate the link and actuator velocities. The overall control system achieves a semiglobal exponential stability result for the link position and velocity tracking errors as well as the velocity observation errors. A stability proof and simulation results for the proposed partial state feedback controller are included in the article. © 1995 John Wiley &amp; Sons, Inc ."
5,perception:1|robotics:4,Mathematical foundations of navigation and perception for an autonomous mobile robot,1996,Lecture Notes in Computer Science,10.1007/bfb0013953,https://doi.org/10.1007/bfb0013953,
5,perception:1|control:2|robotics:2,The tracking problem for a mobile robot: A sliding mode controller for the dynamical model,1999,1999 European Control Conference (ECC),10.23919/ecc.1999.7099432,https://doi.org/10.23919/ecc.1999.7099432,
5,perception:1|control:3|robotics:1,Controller design for natural and robotic systems with transmission delays,2002,Journal of Robotic Systems,10.1002/rob.10037,https://doi.org/10.1002/rob.10037,"Abstract Robust stability and two‐dimensional trajectory following problems are considered for n ‐link robotic systems with transmission delays. Such problems appear in telerobotics, where the controller is physically far from the robot, and in neural control of musculo‐skeletal (biological) systems, where muscle actuation and neural sensing are subject to time delays. A typical second‐order nonlinear dynamical model is taken with input and output time delays. In a prior work by the authors, a control strategy was developed for stable movement of the planar linkage system, using the standard Q ‐parameterization and solving an H ∞ control problem to determine the free parameter. In this article, a new control scheme is proposed to eliminate the steady‐state errors seen in the tracking performance of the controller derived in the earlier work. Simulation examples are shown to demonstrate the effectiveness of the proposed control methodology. © 2002 Wiley Periodicals, Inc."
5,contracts:1|control:3|robotics:1,SafetyBUS p interface incorporated within robot controllers,2002,Industrial Robot: An International Journal,10.1108/ir.2002.04929faf.007,https://doi.org/10.1108/ir.2002.04929faf.007,
5,perception:1|control:2|robotics:2,A Sensor-Based Robot Controller for Autonomous Exploration of Unknown Environments,2003,Intelligent Automation &amp; Soft Computing,10.1080/10798587.2000.10642848,https://doi.org/10.1080/10798587.2000.10642848,
5,perception:1|control:2|robotics:2,Design of a tracking controller-observer system for a mobile robot,2005,"Proceedings of the Fifth International Workshop on Robot Motion and Control, 2005. RoMoCo '05.",10.1109/romoco.2005.201406,https://doi.org/10.1109/romoco.2005.201406,
5,perception:1|control:1|robotics:3,TERRAIN CLASSIFICATION FOR OUTDOOR AUTONOMOUS ROBOTS USING SINGLE 2D LASER SCANS - Robot perception for dirt road navigation,2005,"Proceedings of the Second International Conference on Informatics in Control, Automation and Robotics",10.5220/0001176003470352,https://doi.org/10.5220/0001176003470352,
5,control:2|robotics:3,Fuzzy Obstacle-avoiding Controller of Autonomous Mobile Robot Optimized by Genetic Algorithm under Multi-obstacles Environment,2006,2006 6th World Congress on Intelligent Control and Automation,10.1109/wcica.2006.1712969,https://doi.org/10.1109/wcica.2006.1712969,
5,perception:2|control:2|robotics:1,Kalman Based Finite State Controller for Partially Observable Domains,2006,International Journal of Advanced Robotic Systems,10.5772/5723,https://doi.org/10.5772/5723,"A real world environment is often partially observable by the agents either because of noisy sensors or incomplete perception. Moreover, it has continuous state space in nature, and agents must decide on an action for each point in internal continuous belief space. Consequently, it is convenient to model this type of decision-making problems as Partially Observable Markov Decision Processes (POMDPs) with continuous observation and state space. Most of the POMDP methods whether approximate or exact assume that the underlying world dynamics or POMDP parameters such as transition and observation probabilities are known. However, for many real world environments it is very difficult if not impossible to obtain such information. We assume that only the internal dynamics of the agent, such as the actuator noise, interpretation of the sensor suite, are known. Using these internal dynamics, our algorithm, namely Kalman Based Finite State Controller (KBFSC), constructs an internal world model o"
5,perception:1|control:2|robotics:2,On-line Mobile Robot Path Tracking Using PI Controller,2006,2006 Annual IEEE India Conference,10.1109/indcon.2006.302791,https://doi.org/10.1109/indcon.2006.302791,
5,perception:2|control:1|robotics:2,Symbolic Representations for Autonomous Vehicle Perception and Control in Urban Environments,2006,"2006 9th International Conference on Control, Automation, Robotics and Vision",10.1109/icarcv.2006.345207,https://doi.org/10.1109/icarcv.2006.345207,
5,control:2|robotics:3,A Fuzzy Controller for Autonomous Negotiation of Stairs by a Mobile Robot with Adjustable Tracks,2008,Lecture Notes in Computer Science,10.1007/978-3-540-68847-1_17,https://doi.org/10.1007/978-3-540-68847-1_17,
5,perception:1|control:2|robotics:2,An Embedded Fuzzy Type-2 Controller Based Sensor Behavior for Mobile Robot,2008,2008 Eighth International Conference on Intelligent Systems Design and Applications,10.1109/isda.2008.122,https://doi.org/10.1109/isda.2008.122,
5,perception:1|control:2|robotics:2,Evolving a Vision-Driven Robot Controller for Real-World Indoor Navigation,2008,Lecture Notes in Computer Science,10.1007/978-3-540-78761-7_19,https://doi.org/10.1007/978-3-540-78761-7_19,
5,perception:1|control:1|robotics:3,Robust Vision-only Mobile Robot Navigation with Topological Maps,2008,Motion Planning,10.5772/6019,https://doi.org/10.5772/6019,
5,perception:1|control:1|robotics:3,Velocity Occupancy Space: Robot Navigation and Moving Obstacle Avoidance With Sensor Uncertainty,2009,"ASME 2009 Dynamic Systems and Control Conference, Volume 1",10.1115/dscc2009-2570,https://doi.org/10.1115/dscc2009-2570,"In order to autonomously navigate in an unknown environment, a robotic vehicle must be able to sense obstacles, determine their velocities, and follow a clear path to a goal. However, the perceived location and motion of the obstacles will be uncertain due to the limited accuracy of the robot’s sensors. Thus, it is necessary to develop a system that can avoid moving obstacles using uncertain sensor data. The method proposed here is based on a certainty occupancy grid—which has been used to avoid stationary obstacles in an uncertain environment—in conjunction with the velocity obstacle concept—which allows a robot to avoid well-known moving obstacles. The combination of these two techniques leads to velocity occupancy space: a search space which allows the robot to avoid moving obstacles and navigate efficiently to a goal using uncertain sensor data."
5,perception:2|control:1|robotics:2,A lidar perception scheme for intelligent vehicle navigation,2010,2010 11th International Conference on Control Automation Robotics &amp; Vision,10.1109/icarcv.2010.5707962,https://doi.org/10.1109/icarcv.2010.5707962,
5,perception:1|control:1|robotics:3,Intelligent Control and Sensor Fusion of a Mobile Robot Based Monitoring System,2010,Mobile Robots Navigation,10.5772/8993,https://doi.org/10.5772/8993,
5,perception:2|control:1|robotics:2,Mobile robot indoor semantic mapping using 3D laser scanning and monocular vision,2010,2010 8th World Congress on Intelligent Control and Automation,10.1109/wcica.2010.5554511,https://doi.org/10.1109/wcica.2010.5554511,
5,perception:1|control:2|robotics:2,The path‐tracking controller based on dynamic model with slip for one four‐wheeled OMR,2010,Industrial Robot: An International Journal,10.1108/01439911011018975,https://doi.org/10.1108/01439911011018975,"Purpose This paper aims to propose a suitable motion control method for omni‐directional mobile robots (OMRs). In RoboCup competition, the robot moves in a dynamic and oppositional environment, which occurs with high acceleration and deceleration motion frequently, especially for our OMR that slipping is almost inherently encountered in motion. Therefore, the purpose of this paper is to present one improved dynamical model with slip, and then to propose one suitable path‐tracking controller based on it, which gives more accurate control result. Design/methodology/approach A dynamic modeling method for OMRs based on the theory of vehicle dynamics is proposed. By analyzing the wheel contact friction forces both in the wheel hub rolling direction and in the roller rolling direction, an amendatory dynamics model is presented. This model is introduced into the computed‐torque‐like‐controller (CTLC) system to solve the path‐tracking problem. Findings An amendatory dynamics model with slip is"
5,contracts:1|control:3|robotics:1,Closed-loop performance of a proportional controller for visual stabilization using a fly-robot interface,2011,2011 IEEE International Conference on Robotics and Biomimetics,10.1109/robio.2011.6181503,https://doi.org/10.1109/robio.2011.6181503,
5,perception:3|robotics:2,Contact State Estimation by Vision-Based Tactile Sensors for Dexterous Manipulation with Robot Hands Based on Shape-Sensing,2011,International Journal of Advanced Robotic Systems,10.5772/50899,https://doi.org/10.5772/50899,"We propose a new method for estimating the contact state of objects with varying shapes on a vision-based fluid-type tactile sensor, which touch pad is an elastic transparent membrane of silicon rubber with dotted pattern printed on its inner side. The membrane is filled with translucent red colored water. The proposed method leads to better understanding of the object's shape and movement, and can be applied for accomplishing reliable and dexterous handling tasks by robot hands."
5,control:2|robotics:3,Cooperative Path Planning for Multi-Robot Systems in Dynamic Domains,2011,"Mobile Robots - Control Architectures, Bio-Interfacing, Navigation, Multi Robot Motion Planning and Operator Training",10.5772/26440,https://doi.org/10.5772/26440,
5,control:2|robotics:3,Motion Planning for Multiple Mobile Robots Using Time-Scaling,2011,"Mobile Robots - Control Architectures, Bio-Interfacing, Navigation, Multi Robot Motion Planning and Operator Training",10.5772/28104,https://doi.org/10.5772/28104,
5,contracts:1|control:2|robotics:2,A New Trajectory Control of a Car-Like Wheeled Robot,2012,"Volume 4: Dynamics, Control and Uncertainty, Parts A and B",10.1115/imece2012-85455,https://doi.org/10.1115/imece2012-85455,"This paper proposes a trajectory control scheme for a car-like four-wheeled mobile robot. The proposed control scheme consists of a trajectory generator, a motion control law, and a steering control law. First, a real-time trajectory generator is designed based on the nonholonomic kinematic constraints of the robot, in which the reference driving speed and time rate of heading angle are computed in real time for a given desired trajectory of the robot. Next, motion and steering control laws are designed based on the dynamic model of the robot. The motion and steering control laws are used to control the robot speed and steering angle. Finally, the validity of the proposed control scheme is shown by realistic computer simulations with one sampling time delay in the control loop. In this study, the Lyapunov stability theorem and the loop shaping method are used as mathematical design tools. The proposed control guarantees asymptotic stability of the trajectory control while keeping all i"
5,contracts:1|perception:1|control:1|robotics:2,Analysis and Design of a Two-Wheeled Robot With Multiple User Interface Inputs and Vision Feedback Control,2012,"Volume 4: Dynamics, Control and Uncertainty, Parts A and B",10.1115/imece2012-87987,https://doi.org/10.1115/imece2012-87987,"Environments for robotics research and education are usually based on open source code or use proprietary software tools. Open source usually requires a user to know a low level programming language and proprietary software does not provide the environment needed for research and educational activities. In addition to the software, the hardware must be inexpensively and easily fabricated and assembled for teaching and experimentation purposes. In this manuscript, we will present the design and fabrication of a small size two-wheel mobile robotic platform developed for research and education purposes. Subsequently, the software environment for controlling the robot which is based on LabVIEW will be presented. LabVIEW was chosen because it provides many built-in toolboxes, and it is characterized by expandability and ease of interface with external devices. The software allows experienced as well as novice users to develop control code with ease. The robot communicates with control softw"
5,perception:1|control:3|robotics:1,Dynamics and Controller Design of a Screw Wheel Drive Holonomic Rescue Robot,2012,"Volume 4: Dynamics, Control and Uncertainty, Parts A and B",10.1115/imece2012-85730,https://doi.org/10.1115/imece2012-85730,"This paper reports a holonomic rescue robot where the robot is driven by screw wheels. The necessity of a such platform is explained and the mechanical design and the actual prototype are presented. In order to design an adaptive control algorithm to ensure the trajectory tracking, the dynamical model is constructed. The stability of the adaptive control algorithm is proven with Lyapunov stability analysis. The necessary electronics to implement the controller algorithm is explained and the conclusions and future work section reports the results of the study as well as the future research directions."
5,contracts:1|control:3|robotics:1,Human-Robot Interface Controller Usability for Mission Planning on the Move,2012,,10.21236/ada579681,https://doi.org/10.21236/ada579681,
5,control:2|robotics:3,Nature optimization applied to design a type-2 fuzzy controller for an autonomous mobile robot,2012,2012 Fourth World Congress on Nature and Biologically Inspired Computing (NaBIC),10.1109/nabic.2012.6402264,https://doi.org/10.1109/nabic.2012.6402264,
5,perception:1|control:2|robotics:2,Obstacle Avoidance with Virtual sensor in Mobile Robot&amp;apos;s Motion using the Advanced Potential Field Controller,2012,International Journal of Computer Applications,10.5120/8407-2032,https://doi.org/10.5120/8407-2032,
5,perception:1|control:2|robotics:2,Tracking Controller of mobile robot,2012,"2012 International Conference on Computing, Electronics and Electrical Technologies (ICCEET)",10.1109/icceet.2012.6203785,https://doi.org/10.1109/icceet.2012.6203785,
5,perception:1|control:2|robotics:2,Active semantic localization of mobile robot using partial observable Monte Carlo Planning,2013,2013 10th IEEE International Conference on Control and Automation (ICCA),10.1109/icca.2013.6564917,https://doi.org/10.1109/icca.2013.6564917,
5,perception:1|control:3|robotics:1,Adaptive Back-Stepping Control for Wheeled Robot with Uncertainty,2013,Advanced Materials Research,10.4028/www.scientific.net/amr.787.850,https://doi.org/10.4028/www.scientific.net/amr.787.850,"Problems trajectory tracking of wheeled robot with uncertainty were studied. The paper proposes an back-stepping PID control algorithms base on Lyapunov theory. Mode was established base on the assumed modes method, Lagrange principle and momentum conservation. The controller is educed by back-stepping design. Complicated system is decompounded to some ordinary subsystem. Control system stability is ensured base on Lyapunov theory. The simulation resulted show that controller can improves the control accuracy and the asymptotic convergence of tracking error. Even bigger errors of beginning are appeared. The presented back-stepping PID controller can reach good control precision."
5,perception:1|control:2|robotics:2,Fuzzy-PID hybrid controller for mobile robot using point cloud and low cost depth sensor,2013,2013 International Conference on Individual and Collective Behaviors in Robotics (ICBR),10.1109/icbr.2013.6729280,https://doi.org/10.1109/icbr.2013.6729280,
5,contracts:1|control:3|robotics:1,CPG-based Locomotion Controller Design for a Boxfish-like Robot,2014,International Journal of Advanced Robotic Systems,10.5772/58564,https://doi.org/10.5772/58564,"This paper focuses on a Central Pattern Generator (CPG)-based locomotion controller design for a boxfish-like robot. The bio-inspired controller is aimed at flexible switching in multiple 3D swimming patterns and exact attitude control of yaw and roll such that the robot will swim more like a real boxfish. The CPG network comprises two layers, the lower layer is the network of coupled linear oscillators and the upper is the transition layer where the lower-dimensional locomotion stimuli are transformed into the higher-dimensional control parameters serving for all the oscillators. Based on such a two-layer framework, flexible switching between multiple three-dimensional swimming patterns, such as swimming forwards/backwards, turning left/right, swimming upwards/downwards and rolling clockwise/counter-clockwise, can be simply realized by inputting different stimuli. Moreover, the stability of the CPG network is strictly proved to guarantee the intrinsic stability of the swimming pattern"
5,perception:1|control:3|robotics:1,Global Observer-Based Attitude Controller Using Direct Inertial Measurements,2014,International Journal of Advanced Robotic Systems,10.5772/56861,https://doi.org/10.5772/56861,"In this work, we address the problem of global attitude control using direct inertial measurements. When using direct inertial measurement to observe the rigid body attitude, it is shown that due to a geometrical obstruction, it is impossible to achieve global asymptotic stability. In fact, for a particular initial condition the tracking error quaternion converges to a pure imaginary quaternion formed by an eigenvector of a characteristic matrix related to the inertial constant and known vectors. Our proposition consists of adding a dynamic signal to force the rigid body to escape from such a situation. The proposed observer-based controller is synthesized based on a single Lyapunov function and a stability analysis shows that the controller stabilizes globally and asymptotically the rigid body attitude at the desired one. The effectiveness of the proposed observer-based controller is confirmed by simulation results."
5,control:2|robotics:3,Task priority control for aerial manipulation,2014,"2014 IEEE International Symposium on Safety, Security, and Rescue Robotics (2014)",10.1109/ssrr.2014.7017672,https://doi.org/10.1109/ssrr.2014.7017672,
5,perception:2|control:1|robotics:2,Vision-based Semantic Unscented FastSLAM for mobile robot,2014,Proceeding of the 11th World Congress on Intelligent Control and Automation,10.1109/wcica.2014.7052924,https://doi.org/10.1109/wcica.2014.7052924,
5,perception:1|control:2|robotics:2,Auto-parking Controller of Omnidirectional Mobile Robot Using Image Localization Sensor and Ultrasonic Sensors,2015,"Journal of Institute of Control, Robotics and Systems",10.5302/j.icros.2015.14.0152,https://doi.org/10.5302/j.icros.2015.14.0152,
5,contracts:1|perception:2|robotics:2,Relaxing the planar assumption: 3D state estimation for an autonomous surface vessel,2015,The International Journal of Robotics Research,10.1177/0278364915583680,https://doi.org/10.1177/0278364915583680,"Autonomous Surface Vessels (ASVs) are increasingly being proposed as tools to automate environmental data collection, bathymetric mapping and shoreline monitoring. For many applications it can be assumed that the boat operates on a 2D plane. However, with the involvement of exteroceptive sensors like cameras or laser rangefinders, knowing the 3D pose of the boat becomes critical. In this paper, we formulate three different algorithms based on 3D extended Kalman filter state estimation for ASV localization. We compare them using field testing results with ground truth measurements, and demonstrate that the best performance is achieved with a model-based solution in combination with a complementary filter for attitude estimation. Furthermore, we present a parameter identification methodology and show that it also yields accurate results when used with inexpensive sensors. Finally, we present a long-term series (i.e. over a full year) of shoreline monitoring data sets and discuss the need"
5,contracts:1|perception:1|control:2|robotics:1,A Model-Free Controller for Guaranteed Prescribed Performance Tracking of Both Robot Joint Positions and Velocities,2016,IEEE Robotics and Automation Letters,10.1109/lra.2016.2516245,https://doi.org/10.1109/lra.2016.2516245,
